male, female, male hasTB, female hasTB, male hasTBinTrt, female hasTBinTrt, male hasTBhadTrt, female hasTBhadTrt, (rows are ages 0 5 10 etc),,,,,,,,,,,,,,,,,,,
193800,192545,333,355,11,9,7,9,0,0,13280,13401,24,20,1,1,0,0,0,0
174525,172085,907,833,42,25,36,24,0,0,36836,36243,24,21,8,6,0,0,0,0
155993,152651,848,794,28,24,23,23,0,0,50116,48696,17,16,10,6,0,0,0,0
139429,137071,653,603,24,27,20,22,0,0,57096,56104,18,16,2,4,0,0,0,0
124443,121146,558,510,31,37,25,34,0,0,60386,59181,7,5,10,4,0,0,0,0
110520,107779,431,391,27,27,26,25,0,0,60070,58221,8,5,5,2,0,0,0,0
98340,95659,382,352,91,83,82,71,0,0,57225,55692,1,3,2,4,11,7,0,0
87155,84915,435,453,106,106,84,93,0,0,53505,52364,2,4,4,1,10,9,0,0
76795,75439,550,483,83,76,66,71,0,0,49936,48967,4,1,2,1,17,19,0,0
66091,66580,544,524,102,91,77,86,0,0,44851,45229,7,2,2,2,16,11,0,0
55236,56964,561,500,88,89,76,80,0,0,38479,39785,1,1,2,4,17,16,0,0
45047,47542,467,460,98,103,89,91,0,0,32053,33766,1,0,1,1,14,18,0,0
34735,38496,452,447,32,24,26,22,0,0,24945,27504,1,0,1,0,11,10,0,0
25187,28565,346,381,21,24,17,20,0,0,18299,20728,0,1,0,0,11,18,0,0
16101,19621,200,270,13,10,12,8,0,0,11754,14244,0,0,0,0,13,13,0,0
9408,12285,120,170,12,9,10,7,0,0,6934,9072,0,1,2,0,3,7,0,0
4525,6512,52,77,4,3,3,3,0,0,3367,4888,1,0,0,0,0,4,0,0
1823,2862,28,37,1,3,1,3,0,0,1405,2155,0,0,0,1,0,0,0,0
584,886,11,13,2,0,2,0,0,0,438,669,0,0,0,0,0,0,0,0
115,141,1,0,0,0,0,0,0,0,96,107,0,0,0,0,0,0,0,0
