round, GPUCB, decomposed GPUCB, EI, decomposed EI, POI, decomposed POI
0, 845.283185734, 841.94166209, 848.380083799, 854.293169931, 
1, 842.735132674, 839.038519291, 844.401070933, 853.142385468, 
2, 844.196877372, 840.139548113, 849.237062234, 854.935565641, 
3, 842.879544503, 842.467061609, 848.60401537, 850.824105504, 
4, 842.868409765, 840.382765715, 844.198513496, 849.924231348, 
5, 844.44691755, 840.597687296, 847.794059435, 851.877330654, 
6, 844.612476576, 840.566109664, 845.553689542, 852.158759672, 
7, 843.868121915, 841.350719683, 849.743744571, 851.463680952, 
8, 842.744582289, 841.370734208, 846.114256337, 857.249625457, 
9, 842.977435533, 841.868271615, 849.008796365, 851.47769528, 
