,0.2,0.5,1.0,2.0
0.2,4521.19793750947,5041.749216801811,5173.005633837223,5030.395474289759
1.0,4996.455335181374,5248.870465924046,5056.876932860645,5119.636182341745
5.0,4587.341456635223,5005.313199665663,5742.890903318599,5356.658520800148
20.0,5092.0333770585885,4710.945940749062,5099.664360208708,5094.102252688357
