,0.2,0.5,1.0,2.0
0.2,3122.1706970615787,2979.544351485078,3522.1484754449593,3362.23128866401
1.0,3095.1380036014825,3131.704294965336,3133.2590767687893,3463.9707090055786
5.0,2835.293058268678,3232.2890241974305,3377.8000943609495,3458.500377559005
20.0,2938.033098478497,3316.7562921471704,3343.0194080474685,3326.5423210374656
