,0.2,0.5,1.0,2.0
0.2,3722.0076314610465,3835.017013231382,3694.355499738553,3808.4990728405082
1.0,3404.9815273184217,3810.966193333511,3781.4185357255164,3662.560568227819
5.0,3878.471898650708,3711.7688698793013,3620.7571089968255,3747.606238528893
20.0,3622.2851955811966,3848.3025070913945,3831.9221195281125,3906.041067863716
