,0.2,0.5,1.0,2.0
0.2,4822.433738515522,4803.59357956664,4772.623978163059,4761.267655828248
1.0,4857.807055656253,4786.063035496899,4824.898032276559,4793.3473176265525
5.0,4867.525172102768,4785.589614435672,4771.348041077104,4842.273068547171
20.0,4842.2615051382,4704.6451829290045,4801.099943560344,4825.208964415293
