,0.5,1.0,2.0
1.0,3590.82186674473,3790.205500513302,3420.460623894459
5.0,3515.7700464588606,3551.1426536520007,3436.275637178599
20.0,3743.7300142678855,3650.863581111151,3516.7204623999505
