low fidelity, 24073.561882657144, 24159.573313996494, 24239.31102409302, 24200.198098428213, 23797.565499250155, 24052.398882059097, 24271.167156000927, 24465.463454428856, 24062.745830639913, 24437.30727516937, 24137.29948839444, 23766.557098936253, 24456.76490333189, 24075.495368384178, 24071.480366247903, 24521.528755061277, 23742.890003581702, 24299.31449733825, 24307.27927083518, 23712.428721330325, 24195.26782356887, 24119.494843607816, 23880.22516891506, 23850.03062564017, 24251.21600761883, 24129.60547669862, 23768.334150124476, 24178.25524053468, 24498.66088220588, 24311.262199176963, 24077.61102135379, 24373.82738853346, 24445.54783451283, 23834.473350683562, 24631.2459795159, 23793.699324747657, 24133.294999209436, 23841.68180417826, 23970.56768033324, 24381.82361963587
high fidelity, 20432.0, 20858.0, 21317.0, 20700.0, 20900.0, 20522.0, 20826.0, 21926.0, 20815.0, 21411.0, 21583.0, 20726.0, 20995.0, 20986.0, 21039.0, 21199.0, 20927.0, 20341.0, 21140.0, 21162.0, 21248.0, 21146.0, 21417.0, 21150.0, 21324.0, 21254.0, 21278.0, 21339.0, 21063.0, 21342.0, 21061.0, 21509.0, 21457.0, 21246.0, 21446.0, 21514.0, 21391.0, 21372.0, 21430.0, 21367.0
total infected difference, 8140.777227043954, 8471.218826728067, 8284.673125222687, 8095.693047792945, 8173.953739138911, 8017.612097415626, 8330.95815136543, 8158.156276154608, 8304.46007348238, 8162.704224475012, 8157.483659212404, 8048.2502425727325, 8300.075036723534, 8001.046006919098, 8000.24910731187, 8340.518997268611, 8115.768890608823, 8078.866034395555, 8299.505859893978, 8135.705800474852, 7699.479942461608, 7533.617623949618, 7328.148138851431, 7322.980663305153, 7520.486444749755, 7610.431143308778, 7290.899017553007, 7636.225375887852, 7698.957890937837, 7548.5571189704215, 7614.086740008138, 7511.981529331498, 7710.329628226116, 7497.009686405695, 7982.618735828477, 7397.06746870899, 7452.547970001324, 7672.783055942795, 7830.672756377842, 7626.882920350537
total population difference, 163711.7012738508, 164351.89786979527, 163855.75158430732, 162502.067445276, 162888.577995624, 162618.90131852732, 163295.75997556758, 163749.32055679525, 163024.5012606121, 163513.60995746998, 163884.8304113629, 163444.51211883733, 163835.24538272317, 166063.31436242274, 161970.01638972873, 164949.7417841879, 164072.7648110179, 160924.0659101486, 165205.66410295657, 163216.28810976996, 163515.0277277429, 164596.61957208728, 162629.48760543184, 162619.1205089601, 164674.26810583277, 163592.2828771144, 163424.90911414954, 162675.29920241432, 160849.7443398242, 162732.53336934198, 162679.55422118082, 164125.95146157185, 163776.31797113596, 161806.64452002157, 163421.2008056548, 163679.64326980975, 163632.90101610788, 163852.78684294864, 162680.61144779978, 161564.36736223643



nu, 0.01, 0.01, 0.01, 0.0564, 0.0622, 0.30000000000000016, 0.30000000000000016, 0.07959999999999999, 0.30000000000000016, 0.30000000000000016, 0.054600000000000024, 0.30000000000000016, 0.30000000000000016, 0.01, 0.07959999999999999, 0.30000000000000016, 0.01, 0.101, 0.06480000000000012, 0.30000000000000016, 0.09960000000000009, 0.30000000000000016, 0.30000000000000016, 0.01, 0.2652, 0.01, 0.01, 0.08480000000000024, 0.21700000000000003, 0.01, 0.22280000000000003, 0.01, 0.01, 0.01, 0.01, 0.014000000000000023, 0.30000000000000016, 0.30000000000000016, 0.01, 0.01, 0.01, 0.30000000000000016, 0.01, 0.30000000000000016, 0.08539999999999999, 0.30000000000000016, 0.30000000000000016, 0.05280000000000004, 0.01, 0.1068, 0.16300000000000006, 0.01, 0.30000000000000016, 0.30000000000000016, 0.1968000000000002, 0.026000000000000155, 0.01, 0.01, 0.14160000000000003, 0.19420000000000012, 0.01, 0.01, 0.30000000000000016, 0.30000000000000016, 0.2072, 0.2304, 0.22860000000000003, 0.01, 0.14160000000000003, 0.010000000000000106, 0.184, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
random nu, 0.03484320557491289, 0.156794425087108, 0.08710801393728224, 0.05226480836236934, 0.12195121951219512, 0.10452961672473868, 0.06968641114982578, 0.12195121951219512, 0.06968641114982578, 0.08710801393728224, 0.05226480836236934, 0.12195121951219512, 0.03484320557491289, 0.08710801393728224, 0.03484320557491289, 0.03484320557491289, 0.12195121951219512, 0.13937282229965156, 0.05226480836236934, 0.13937282229965156, 0.03484320557491289, 0.03484320557491289, 0.03484320557491289, 0.03484320557491289, 0.156794425087108, 0.03484320557491289, 0.03484320557491289, 0.03484320557491289, 0.13937282229965156, 0.03484320557491289, 0.03484320557491289, 0.06968641114982578, 0.12195121951219512, 0.05226480836236934, 0.13937282229965156, 0.06968641114982578, 0.12195121951219512, 0.03484320557491289, 0.156794425087108, 0.08710801393728224, 0.10452961672473868, 0.156794425087108, 0.156794425087108, 0.12195121951219512, 0.03484320557491289, 0.03484320557491289, 0.06968641114982578, 0.08710801393728224, 0.156794425087108, 0.08710801393728224, 0.10452961672473868, 0.05226480836236934, 0.06968641114982578, 0.08710801393728224, 0.12195121951219512, 0.12195121951219512, 0.08710801393728224, 0.10452961672473868, 0.03484320557491289, 0.10452961672473868, 0.12195121951219512, 0.06968641114982578, 0.08710801393728224, 0.12195121951219512, 0.08710801393728224, 0.156794425087108, 0.06968641114982578, 0.156794425087108, 0.156794425087108, 0.13937282229965156, 0.05226480836236934, 0.13937282229965156, 0.05226480836236934, 0.10452961672473868, 0.10452961672473868, 0.06968641114982578, 0.10452961672473868, 0.03484320557491289, 0.08710801393728224, 0.05226480836236934, 0.12195121951219512, 0.12195121951219512, 0.13937282229965156, 0.05226480836236934, 0.05226480836236934, 0.13937282229965156, 0.08710801393728224, 0.156794425087108, 0.12195121951219512, 0.06968641114982578, 0.06968641114982578, 0.12195121951219512, 0.12195121951219512, 0.05226480836236934, 0.156794425087108, 0.05226480836236934, 0.156794425087108, 0.03484320557491289, 0.156794425087108, 0.12195121951219512, 0.08710801393728224, 0.05226480836236934, 0.03484320557491289, 0.05226480836236934, 0.05226480836236934, 0.156794425087108, 0.08710801393728224, 0.13937282229965156, 0.03484320557491289, 0.13937282229965156
