undiscounted costs incl burninTime
300917
301394
301897
302651
303781
305286
307019
308938
311074
313239
315051
316078
317194
318318
319750
321311
322359
324015
324903
326415
327948
328695
329057
329126
329217
330058
330455
330883
331783
331816
332387
332333
333272
333539
334189
335067
335602
336821
336825
337072
336649
336587
337397
338274
337846
338727
339818
341102
341304
341760
343174
344048
344430
345709
345803
346209
345915
346882
347725
347835
348315
349545
350873
351167
351795
352156
353049
352863
353154
353057
353756
354654
354937
356234
357129
357935
358957
359638
360114
361195
361227
361538
361613
362197
363364
363525
364524
364528
365264
366441
367068
367314
367499
369096
369286
370721
370983
372448
373701
374448
374882
374075
374915
375524
375716
375821
377032
378575
378696
379240
380421
381431
382340
382185
382329
383358
383322
383267
383600
384035
384827
385590
386052
387408
387860
388880
389421
390162
390770
391708
392385
392971
393486
394195
395411
395133
395548
396170
396835
397717
397843
398627
399483
400340
401151
401796
403415
403824
404801
405332
406066
407395
408261
408888
409702
410461
411156
412087
412740
413142
413491
414729
414993
414845
415732
416566
417717
418702
419291
420531
421361
422023
422739
422596
423900
424921
426227
426964
428357
429105
430215
430868
431825
432015
432114
433140
433578
433585
434543
434823
435906
436628
437495
438157
437957
438902
439669
441367
441781
443354
444275
445817
446940
446970
447656
448652
448936
449138
449890
450864
452050
452888
453752
454385
455574
456671
457569
459382
460002
461313
462068
462446
463152
463225
463966
464093
464619
466176
467076
469154
469582
470363
471372
471568
472621
473086
473872
474487
475468
476247
476732
477801
478440
479748
479784
480339
481154
481616
483216
484315
484935
486213
487272
487846
487949
488510
490167
490330
490864
491358
491721
492904
493494
494012
495159
496189
497316
497614
499017
499288
500712
501482
502651
503469
504458
505375
505425
506143
506684
506759
506630
507938
508097
509422
510474
511981
513677
513837
515190
515807
516573
517384
517687
518892
519578
520818
521800
523247
524350
524463
525906
526842
527648
527991
529379
529870
530942
530777
532057
532744
533004
534417
535193
536392
536577
536759
537900
538205
539032
539978
540117
540813
541587
542470
542824
543420
544367
545344
546355
546922
547459
548409
549239
549537
550464
551735
553089
554547
556002
556749
557423
558682
559161
560039
560987
561404
562757
563821
564402
564465
565295
566533
566733
566716
567366
568569
569207
570242
570872
572141
573133
573763
573947
575213
575115
576017
576446
575968
576423
577028
578202
579178
579843
580655
581858
583236
584030
584361
585375
586393
587090
587902
587740
589021
589722
590262
590677
591182
591860
591574
592622
594026
595178
595592
596666
597760
598705
599874
600463
601518
602345
603163
603491
604078
604772
606388
607224
608202
608936
609249
609608
609500
610358
610544
611333
612028
612328
613337
614302
615222
616579
617374
618171
618459
619059
619735
621299
621859
623022
624490
625247
625882
627147
627150
626903
627510
627954
629157
628793
629367
630772
631810
632543
633450
634604
635600
635606
636288
637252
638197
639167
640038
640974
641607
642204
642588
643714
644298
644267
645034
645055
645493
646289
647160
647974
648487
649116
650399
651109
651486
651485
652587
653013
653517
654806
655080
656158
657421
658882
659611
660740
661471
662424
663386
664121
664956
665566
665691
665837
666724
667546
668203
669217
669213
670415
671066
671557
672247
672768
674228
674566
675406
675296
676822
677818
