male, female, male hasTB, female hasTB, male hasTBinTrt, female hasTBinTrt, male hasTBhadTrt, female hasTBhadTrt, (rows are ages 0 5 10 etc),,,,,,,,,,,,,,,,,,,
19725,19159,17,23,0,0,0,0,0,0,1030,934,1,2,0,0,0,0,0,0
19093,19062,43,35,24,24,20,24,1,1,3355,3350,1,1,2,0,0,0,0,0
17308,17082,50,53,10,12,7,9,0,1,5140,5041,4,4,2,0,0,0,0,0
15273,15255,28,23,13,5,10,4,0,1,5773,5767,1,2,1,0,0,0,0,0
13992,13202,20,32,4,3,1,1,0,0,6379,5948,0,0,0,0,0,0,0,0
12194,11964,29,40,2,5,2,5,0,0,6285,6057,1,0,0,0,0,0,0,0
10959,10580,44,40,0,3,0,2,0,1,6019,5977,1,0,0,2,1,1,0,0
9603,9480,59,56,3,1,0,0,0,0,5640,5725,0,1,0,0,1,1,0,0
8462,8260,55,61,13,18,12,16,0,2,5434,5195,1,0,0,1,4,2,0,0
7290,7440,39,36,9,3,7,3,0,1,4786,4984,0,0,0,0,0,0,0,0
6253,6382,38,35,16,10,15,9,0,0,4284,4363,0,0,0,0,1,0,0,0
5095,5451,34,34,8,16,7,15,1,1,3541,3842,0,0,0,0,6,2,0,0
3934,4333,27,23,6,4,4,2,0,0,2780,3098,0,0,0,0,2,2,0,0
2800,3275,33,43,2,1,0,0,0,0,2019,2330,0,0,0,0,1,2,0,0
1837,2246,19,29,0,0,0,0,0,0,1351,1634,0,0,0,0,1,3,0,0
1060,1331,13,14,1,3,1,3,0,0,752,969,0,0,0,0,0,2,0,0
508,731,6,7,0,0,0,0,0,0,380,552,0,0,0,0,0,0,0,0
227,333,4,5,0,0,0,0,0,0,181,253,0,0,0,0,0,0,0,0
67,126,0,2,0,0,0,0,0,0,53,86,0,0,0,0,0,0,0,0
12,23,0,1,0,0,0,0,0,0,11,16,0,0,0,0,0,0,0,0
