,0.2,0.5,1.0,1.5,2.0
0.02209636607039124,1120.7833887150618,1333.1251954355114,1200.2808208415488,1314.603268448208,1286.312426349491
0.04419273214078248,1329.9395577069317,1274.8751738989802,1330.5115457840593,1275.0335831130394,1289.3823232797445
0.08838546428156496,1288.8795016324714,1215.9580168408781,1233.745655348953,1243.662632592366,1243.8424187408525
0.13257819642234744,1354.8745931446392,1290.8993705899454,1212.6555439480824,1069.8779935795585,1170.2144579950204
0.17677092856312993,1239.5303695567827,1378.2602504339125,1331.818385415532,1306.2478634200338,1262.3048229772755
0.2209636607039124,1203.8285815252389,1266.6310789293414,1219.4095642504878,1354.2695931987064,1262.5439942959867
0.4419273214078248,1257.239723744897,1233.8984985703505,1202.2656373616824,1365.709421631456,1276.5921950940196
0.8838546428156496,989.3798502192612,1270.5872926417744,1344.0051526279387,1205.489056109385,1217.0543137500706
1.3257819642234743,1154.4890675994575,1171.6331819453808,1224.347825257919,1263.494134981928,1193.891451926208
1.7677092856312993,1229.4885260477613,1214.2806717684518,1306.6967594534653,1258.8086779907667,1118.942141651207
