sensTBincidence, mdrTBincidence, numAlive,,
401,0,201950
501,0,206067
731,0,210306
590,0,214568
473,0,218911
460,0,223406
447,0,227924
412,0,232582
407,0,237282
383,0,242125
371,0,247070
324,0,252006
332,0,257166
327,0,262406
334,0,267751
379,0,273177
385,0,278769
413,0,284406
386,0,290170
446,0,296058
413,0,302087
468,0,308201
446,0,314497
462,0,320862
531,0,327384
474,0,334057
524,0,340815
527,0,347747
526,0,354779
525,0,362000
555,0,369353
599,0,376906
645,0,384538
693,0,392323
672,0,400275
748,0,408404
710,0,416724
751,0,425171
820,0,433789
904,0,442620
883,0,451603
891,0,460781
945,0,470163
943,0,479689
968,0,489409
951,0,499394
996,0,509518
1048,0,519852
1052,0,530420
1120,0,541164
1173,0,552186
1199,0,563371
1226,0,574871
1214,0,586495
1267,0,598432
1260,0,610561
1342,0,622964
1396,0,635603
1362,0,648548
1383,0,661669
1435,0,675138
1462,0,688840
1526,0,702784
1628,0,717067
1654,0,731636
1755,0,746488
1721,0,761589
1788,0,777120
1795,0,792878
1733,0,808977
1790,0,825417
1876,0,842128
1868,0,859223
1933,0,876724
1983,0,894487
2031,0,912666
2140,0,931135
2170,0,950065
2230,0,969431
2285,0,989089
2310,0,1.00914e+06
2336,0,1.02966e+06
2403,0,1.05057e+06
2513,0,1.07188e+06
2551,0,1.09363e+06
2562,0,1.11586e+06
2643,0,1.13853e+06
2675,0,1.16175e+06
2757,0,1.18524e+06
2795,0,1.20942e+06
2880,0,1.23394e+06
2979,0,1.25903e+06
2944,0,1.28457e+06
2993,0,1.31069e+06
3179,0,1.33732e+06
3112,0,1.36445e+06
3303,0,1.39226e+06
3419,0,1.4204e+06
3425,0,1.44927e+06
3482,0,1.47869e+06
3520,0,1.5088e+06
3620,0,1.53944e+06
3598,0,1.57072e+06
3724,0,1.60267e+06
3875,0,1.63523e+06
3803,0,1.66842e+06
3983,0,1.70232e+06
4072,0,1.7369e+06
4083,0,1.77206e+06
4076,0,1.80817e+06
4270,0,1.84492e+06
4410,0,1.88233e+06
4444,0,1.92048e+06
4452,0,1.95955e+06
4645,0,1.99936e+06
4746,0,2.04008e+06
4891,0,2.0814e+06
5006,0,2.12372e+06
5075,0,2.16693e+06
5160,0,2.21091e+06
5252,0,2.25578e+06
5475,0,2.30168e+06
5587,0,2.34846e+06
5612,0,2.39615e+06
5780,0,2.44472e+06
5945,0,2.49445e+06
6067,0,2.54514e+06
6217,0,2.59685e+06
6351,0,2.64951e+06
6374,0,2.70339e+06
6559,0,2.75801e+06
6738,0,2.81253e+06
6777,0,2.86704e+06
6719,0,2.92157e+06
6645,0,2.97549e+06
6356,0,3.02948e+06
6301,0,3.08258e+06
6179,0,3.13552e+06
5852,0,3.18817e+06
5689,0,3.24047e+06
5574,0,3.29265e+06
5547,0,3.34431e+06
5664,0,3.3964e+06
5659,0,3.44811e+06
5536,0,3.49902e+06
5751,0,3.54994e+06
5688,0,3.60097e+06
5791,0,3.65181e+06
5753,0,3.70227e+06
5873,0,3.75297e+06
5971,0,3.80265e+06
6120,0,3.85212e+06
6041,0,3.90055e+06
6080,0,3.94874e+06
6048,0,3.99652e+06
