round, GPUCB, decomposed GPUCB, EI, decomposed EI, POI, decomposed POI
0, 1439.10746124, 1009.04706078, 3001.24443913, 3052.52487242, 
1, 1950.96161768, 839.386784126, 4436.20063209, 3363.70089803, 
2, 3526.39377308, 1422.83953743, 4123.81919233, 4998.8314694, 
3, 2434.144795, 4129.59266554, 3457.32891738, 5345.3248317, 
4, 1373.10859029, 670.871315769, 3325.21958956, 2290.75069805, 
5, 3047.59540355, 1087.37063127, 4408.68534741, 4407.92128127, 
6, 1495.25221504, 6483.06306546, 2681.47997343, 5266.85487635, 
7, 2370.34442507, 6117.5777144, 4433.95676134, 3555.36053645, 
8, 3862.65992988, 1139.94501249, 5160.35894396, 4231.42625488, 
9, 1782.34616209, 1910.94343677, 3376.28804665, 3584.05070868, 
