round, GPUCB, decomposed GPUCB, EI, decomposed EI, POI, decomposed POI
0, 496.867039508, 495.574089269, 731.580460506, 190.975129534, 511.707422466, 192.278887616
1, 506.877527867, 507.19329899, 703.78493794, 1086.77937677, 670.545395983, 1079.84726286
2, 510.112851685, 513.480438766, 777.281193663, 1262.36272463, 687.056260909, 2855.27643257
3, 490.907364872, 503.173155056, 748.465689768, 276.020851192, 553.392337684, 279.127806656
4, 509.369496721, 519.41891432, 755.075415313, 614.099815084, 610.441255906, 3229.91381023
5, 513.740867952, 522.326460553, 725.253626514, 326.88302848, 651.58482436, 326.202510664
6, 486.179925787, 511.014506893, 757.81684718, 410.970297303, 618.770845567, 2504.37719023
7, 500.984073294, 495.688714208, 704.093400744, 105.632518919, 618.078915454, 3519.42767794
8, 489.210639556, 499.631977495, 701.480148988, 86.3225804773, 642.156628029, 84.5607759215
9, 496.322006552, 509.064398329, 720.153362638, 1382.25974915, 660.479566043, 1378.18578719
