round, GPUCB, decomposed GPUCB, EI, decomposed EI, POI, decomposed POI
0, 1270.95668959, 1293.08965842, 1373.131774, 1248.136061, 
1, 1314.54964862, 1295.36921167, 1336.7564816, 1261.88491229, 
2, 1309.13218481, 1291.20395883, 1350.08076596, 1223.07746995, 
3, 1285.43927231, 1301.01867341, 1356.69619533, 1279.4778924, 
4, 1292.14256039, 1286.7778345, 1396.09487016, 1299.0612946, 
5, 1303.36083203, 1297.51410687, 1364.63672957, 1328.82526063, 
6, 1272.33392822, 1282.61050094, 1361.68828182, 1222.49265568, 
7, 1266.63246164, 1286.88307818, 1404.57055706, 1235.64907897, 
8, 1319.49297771, 1317.25919429, 1333.15342037, 1294.77552219, 
9, 1276.43843207, 1308.37477465, 1387.228853, 1287.43578258, 
