round, GPUCB, decomposed GPUCB, EI, decomposed EI, POI, decomposed POI
0, 1457.20313134, 1484.83685098, 1695.20248416, 1591.32978691, 
1, 1430.33744085, 1412.07193461, 1592.06833994, 1479.1102446, 
2, 1575.00866569, 1528.13148036, 1606.46774223, 1466.92927419, 
3, 1534.3786688, 1511.1070538, 1696.17667609, 1543.58584242, 
4, 1505.58908335, 1525.3788873, 1663.81964449, 1579.42973663, 
5, 1536.69552106, 1496.37327493, 1641.71075008, 1565.66492544, 
6, 1507.25233106, 1512.13422176, 1661.44226961, 1529.35920159, 
7, 1516.03978132, 1509.02166246, 1592.34291667, 1470.30396487, 
8, 1579.95956123, 1538.60962971, 1681.14295105, 1444.198335, 
9, 1530.19341193, 1532.66476341, 1692.57873599, 1587.23612969, 
