round, GPUCB, decomposed GPUCB, EI, decomposed EI, POI, decomposed POI
0, 1584.11524579, 1576.10876514, 1617.3295878, 1468.20461968, 
1, 1664.78026043, 1676.32665309, 1589.69130548, 1446.29667084, 
2, 1727.80264762, 1757.75848978, 1538.10839179, 1447.54847548, 
3, 1614.75369478, 1779.5386588, 1386.12349019, 1327.39441839, 
4, 1661.22031625, 1651.08272692, 1644.21811909, 1518.38702485, 
5, 1728.92400656, 1734.2645826, 1658.16167452, 1500.2002151, 
6, 1877.04826211, 1851.23050699, 1674.87670954, 1585.67342714, 
7, 1727.475304, 1731.70563939, 1652.27760921, 1647.24480567, 
8, 1783.7021487, 1781.92706374, 1633.21920969, 1614.92111541, 
9, 1651.92198518, 1654.13242809, 1637.68166478, 1465.08949238, 
