round, GPUCB, decomposed GPUCB, EI, decomposed EI, POI, decomposed POI
0, 363.822499887, 367.442344219, 628.236818496, 607.378952097, 583.711711523, 608.570094167
1, 309.759620191, 413.436465609, 627.79597128, 599.693388148, 621.380531847, 644.437344102
2, 270.784001115, 330.409428806, 651.941739306, 627.445063355, 
