round, GPUCB, decomposed GPUCB, EI, decomposed EI, POI, decomposed POI
0, 422.856611885, 418.656955182, 438.078949968, 442.580586313, 
1, 420.765053307, 419.887902376, 437.801012544, 439.641915878, 
2, 421.570327219, 419.866946627, 438.219955159, 438.047998169, 
3, 421.877320267, 419.464140673, 439.754200898, 437.862804005, 
4, 422.289883012, 420.386484811, 438.499992111, 440.400476358, 
5, 422.661420329, 419.391961801, 442.038649266, 437.083361937, 
6, 421.934005397, 418.678718217, 436.470003432, 438.068379003, 
7, 424.277700996, 419.203561118, 437.894817145, 436.808661637, 
8, 420.438533475, 421.855693531, 441.019497462, 439.776584961, 
9, 421.120851142, 418.369609738, 437.418397479, 440.163912926, 
